"1","5","1","5","3","1","6"
"2","1","0","4","0","1","4","5","4","2","5","2","6","5","6","5","7","4","8","5","9"
"3","1","2","5","2","1","5","5","5","0","6","3","6","1","7","4","7"
"4","1","1","2","2"
"5"
"6","2","9"
"7","2","1","1","9"
"8","2","4"
"9"
"10","2","3"
"11"
"12"
"13"
"14","3","1","3","7"
"15"
"16","2","0","4","3"
"17"
"18","3","9"
"19","3","4","4","9"
"20"
"21","3","2","4","2","4","4","3","5","2","8"
"22"
"23","4","5"
"24"
"25","3","3"
"26","4","1"
"27"
"28"
"29","3","8"
"30","2","7"
"31"
"32","3","0"
"33"
"34"
"35"
"36"
"37"
"38"
"39"
"40"
"41","4","6"
"42"
"43"
"44"
"45"
"46"
"47"
"48"
"49"
"50"
"51"
"52"
